priority,event_name,organizer,url,target_date_2026,cfp_status,format,fee_class,audience,best_talk,hook_angle,contact_path,notes
1,Exit Planning Institute Webinar Series,Exit Planning Institute,https://exit-planning-institute.org/events,Q2-Q3,evergreen webinar pitches,virtual,unpaid-paid,exit advisors / wealth managers / business owners,Charisma + Reputation,RE-PITCH — she delivered May 2025 charisma talk; reactivate via Scott Snider / EPI events team,info@exit-planning-institute.org,She did this once already; warm reactivation; aligns with white-label Playbook wealth manager play
2,Family Firm Institute (FFI) Global Conference,Family Firm Institute,https://www.ffi.org/events,October 2026,opens ~Feb-Mar 2026,in-person,unpaid (panel) / paid (keynote),family business advisors / academics / multi-gen owners,Generational Fluency + Reputation,40 yrs practitioner + 200+ transitions + Queens College adjunct = academic credibility for panel; FFI Barbara Hollander award eligible separately,events@ffi.org,Most credible global org in space; FFI Fellow status long-game; submit early
3,Family Business Magazine Transitions Conference,Family Business Magazine,https://www.familybusinessmagazine.com/transitions-conference,October-November 2026,opens Q2,in-person,unpaid panel (norm) / paid keynote rare,multi-gen family business owners + advisors,Family Leadership & Legacy,Sider Road IS a family business + Jade angle = authentic practitioner not theorist; lean into operator story,editor@familybusinessmagazine.com,Alongside Transformational Women award nomination doubles surface area
4,NACD Directors Summit / Chapter Events,National Association of Corporate Directors,https://www.nacdonline.org/events,multiple 2026,evergreen chapter rotation,hybrid,paid honorarium common,public + private board directors,Office Politics + Reputation,Board-level governance angle; chapter circuit easier entry than national summit,speakers@nacdonline.org / chapter chairs,Juday precedent confirmed; target NYC + Tri-State chapters first
5,Vistage CEO Speaker Network,Vistage Worldwide,https://www.vistage.com/research-center/speaker-bureau,evergreen,application-based,virtual + in-person,paid ($1500-5000/session),vetted CEO peer groups (15-20 people),Charisma + Managing Through Chaos + Negotiation,Speaker bureau direct application; massive ROI once accepted (20-50 sessions/yr),speakers@vistage.com,Application gate but huge once in; her CEO history (Colin Cowie / Ortho) qualifies
6,YPO Chapter Speaker Rotation,Young Presidents' Organization,https://www.ypo.org/chapter-events,evergreen,chapter chair direct outreach,in-person,paid honorarium ($2-10K),YPO chapter members,Leading for Innovation + Negotiation,Bryan precedent global YPO rotation; warm intro from any YPO member = key,chapter chair LinkedIn DMs,Greenwich CT chapter = local play; NYC Metro + Connecticut chapters tier 1
7,EO Global Chapter Speakers,Entrepreneurs' Organization,https://hub.eonetwork.org,evergreen,chapter outreach,in-person,paid honorarium,EO chapter members (entrepreneurs $1M+ rev),Charisma + Office Politics,Similar profile to YPO but lower price band; warm intros from any EO member,chapter learning chair LinkedIn,Easier entry than YPO; NYC + CT chapters
8,Massachusetts Conference for Women,Conferences for Women network,https://www.maconferenceforwomen.org,December 2026,opens spring 2026,in-person,unpaid panel norm / paid keynote selective,12K women business + professionals,Authority Women + Charisma,15K attendee scale; panel submission lower bar than keynote; brand-aligned with Authority track,info@maconferenceforwomen.org,Tier 1 for Authority Women mastermind funnel
9,Texas Conference for Women,Conferences for Women network,https://www.txconferenceforwomen.org,November 2026,opens summer 2026,in-person,unpaid panel / paid keynote,7-8K attendees,Authority Women + Reputation,Same brand network as MA; rotate pitches across all 4 state Conferences for Women,info@txconferenceforwomen.org,Apply to all 4 (MA / PA / TX / CA) as cluster
10,Worth Magazine Power 100 Events,Worth Media Group,https://www.worth.com/events,2026 series,evergreen,in-person NYC,unpaid speaking / paid sponsorship,HNW + family wealth advisors + UHNW founders,Reputation + Generational Fluency,Wealth manager audience = exact Playbook white-label ICP; relationship-building > fee here,events@worth.com,Pipeline play for Playbook GTM not just speaking fee
11,Conscious Capitalism CEO Summit,Conscious Capitalism Inc,https://www.consciouscapitalism.org/events,April-May 2026,opens Q1,in-person,unpaid + paid masterclass tracks,values-led CEOs,Family Leadership & Legacy,Family business = long-term thinking aligned with CC philosophy; Sider Road operator story fits,events@consciouscapitalism.org,Annual flagship; chapter events also exist for warm-up
12,Chief Network Speaker Series,Chief,https://chief.com,evergreen events 2026,membership-based application,virtual + in-person NYC/SF/LA,paid honorarium,senior women executives ($150K+),Authority Women + Office Politics,Exact Authority Women mastermind ICP; corp credibility + warmth combo,programming@chief.com,Premium network; member intros accelerate
13,Hartford-area Family Business Center,UConn School of Business + chapter,https://csb.uconn.edu/family-business,2026 chapter events,evergreen calendar,in-person CT,paid honorarium,CT family businesses + advisors,Family Leadership & Legacy,Geographic proximity (Greenwich = same state) + Queens College adjunct = academic peer; easy yes,fbc@uconn.edu,Local play; warm-up venue for paid gigs
14,Tugboat Institute Summit,Tugboat Institute,https://tugboatinstitute.com,Summer 2026 Sun Valley,application + invitation,in-person,paid honorarium $5-15K,evergreen entrepreneur CEOs,Family Leadership & Legacy + Generational Fluency,Similar to Small Giants — perpetually private companies + family-owned overlap; tight match,info@tugboatinstitute.com,Bryan + Small Giants precedent network adjacent; warm intro path via Bo Burlingham orbit
15,Small Giants Summit,Small Giants Community,https://smallgiants.org,2026 (TBD city),application + referral,in-person,paid honorarium,perpetually private + values-led CEOs,Family Leadership & Legacy,Bryan CSP precedent — direct competitor speaks here annually; her stack > Bryan's,info@smallgiants.org,Apply via website + warm intro from any current speaker; Tier 1 paid target
